LEA Code,LEA Name,School Code,School Name,School Type,Ward,Accountability Framework,Framework Weight,Framework Points Earned,Framework Points Possible,Framework STAR Score,Framework STAR Rating,School Year
142,"SEED PCS of Washington, DC",174,SEED PCS of Washington DC,Charter,7,High School,39,47,85,55,3,2019
142,"SEED PCS of Washington, DC",174,SEED PCS of Washington DC,Charter,7,Middle School,61,33,95,35,2,2019
144,Elsie Whitlow Stokes Community Freedom PCS,159,Elsie Whitlow Stokes Community Freedom PCS - Brookland,Charter,5,Elementary School with Pre-Kindergarten,100,60,100,60,3,2019
146,Thurgood Marshall Academy PCS,191,Thurgood Marshall Academy PCS,Charter,8,High School,100,60,95,63,4,2019
149,Two Rivers PCS,198,Two Rivers PCS - 4th St,Charter,6,Elementary School with Pre-Kindergarten,51,58,95,61,4,2019
149,Two Rivers PCS,198,Two Rivers PCS - 4th St,Charter,6,Middle School,49,68,95,71,4,2019
149,Two Rivers PCS,270,Two Rivers PCS - Young,Charter,5,Elementary School with Pre-Kindergarten,100,41,95,43,3,2019
151,Washington Latin PCS,1118,Washington Latin PCS - Upper School,Charter,4,High School,100,75,85,89,5,2019
151,Washington Latin PCS,125,Washington Latin PCS - Middle School,Charter,4,Middle School,100,71,95,75,4,2019
153,City Arts & Prep PCS,210,City Arts & Prep PCS,Charter,5,Elementary School with Pre-Kindergarten,58,7,95,7,1,2019
153,City Arts & Prep PCS,210,City Arts & Prep PCS,Charter,5,Middle School,42,12,95,13,1,2019
155,Achievement Preparatory Academy PCS,1100,Achievement Preparatory Academy PCS - Wahler Place Middle School,Charter,8,Elementary School without Pre-Kindergarten,41,9,95,10,1,2019
155,Achievement Preparatory Academy PCS,1100,Achievement Preparatory Academy PCS - Wahler Place Middle School,Charter,8,Middle School,59,32,95,33,2,2019
155,Achievement Preparatory Academy PCS,217,Achievement Preparatory Academy PCS - Wahler Place Elementary School,Charter,8,Elementary School with Pre-Kindergarten,100,12,85,15,1,2019
156,Center City PCS,1103,Center City PCS - Brightwood,Charter,4,Elementary School with Pre-Kindergarten,55,60,100,60,4,2019
156,Center City PCS,1103,Center City PCS - Brightwood,Charter,4,Middle School,45,91,95,96,5,2019
156,Center City PCS,1104,Center City PCS - Capitol Hill,Charter,6,Elementary School with Pre-Kindergarten,52,25,85,29,2,2019
156,Center City PCS,1104,Center City PCS - Capitol Hill,Charter,6,Middle School,48,37,95,39,2,2019
156,Center City PCS,1105,Center City PCS - Congress Heights,Charter,8,Elementary School with Pre-Kindergarten,53,68,85,80,5,2019
156,Center City PCS,1105,Center City PCS - Congress Heights,Charter,8,Middle School,47,69,85,81,5,2019
156,Center City PCS,1106,Center City PCS - Petworth,Charter,4,Elementary School with Pre-Kindergarten,51,38,90,42,3,2019
156,Center City PCS,1106,Center City PCS - Petworth,Charter,4,Middle School,49,52,100,52,3,2019
156,Center City PCS,1107,Center City PCS - Shaw,Charter,6,Elementary School with Pre-Kindergarten,52,39,90,43,3,2019
156,Center City PCS,1107,Center City PCS - Shaw,Charter,6,Middle School,48,42,95,44,3,2019
156,Center City PCS,1108,Center City PCS - Trinidad,Charter,5,Elementary School with Pre-Kindergarten,51,36,95,38,2,2019
156,Center City PCS,1108,Center City PCS - Trinidad,Charter,5,Middle School,49,30,95,32,2,2019
160,Washington Yu Ying PCS,1117,Washington Yu Ying PCS,Charter,5,Elementary School with Pre-Kindergarten,100,82,95,87,5,2019
163,National Collegiate Preparatory PCHS,1120,National Collegiate Preparatory PCHS,Charter,8,High School,100,27,95,28,2,2019
165,Inspired Teaching Demonstration PCS,3064,Inspired Teaching Demonstration PCS,Charter,5,Elementary School with Pre-Kindergarten,65,60,95,63,4,2019
165,Inspired Teaching Demonstration PCS,3064,Inspired Teaching Demonstration PCS,Charter,5,Middle School,35,59,95,62,4,2019
166,Shining Stars Montessori Academy PCS,3066,Shining Stars Montessori Academy PCS,Charter,5,Elementary School with Pre-Kindergarten,100,21,85,25,2,2019
167,Richard Wright PCS for Journalism and Media Arts,3067,Richard Wright PCS for Journalism and Media Arts,Charter,6,High School,100,43,95,46,3,2019
